Algorithm,Dataset,Iteration,Real,User,Sys
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,1,10.82,27.96,2.46
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,1,10.26,27.11,1.75
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,2,10.83,28.27,2.57
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,2,10.14,27.04,1.85
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,3,10.76,27.86,2.55
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,3,10.17,27.02,1.72
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,4,10.83,27.98,2.46
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,4,10.34,27.44,1.72
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,5,11.01,28.22,2.52
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,5,10.41,26.96,1.88
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,6,10.85,28.52,2.37
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,6,10.29,26.68,1.81
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,7,10.84,28.01,2.42
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,7,10.30,27.09,1.81
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,8,11.03,28.54,2.43
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,8,10.14,26.81,1.74
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,9,10.82,28.26,2.38
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,9,10.45,27.22,1.69
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,10,10.87,28.09,2.46
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,10,10.31,27.35,1.74
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,11,10.80,28.09,2.42
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,11,10.15,26.88,1.84
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,12,10.75,27.74,2.50
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,12,10.11,26.91,1.61
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,13,10.81,28.43,2.34
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,13,10.30,27.17,1.88
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,14,10.76,28.11,2.58
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,14,10.17,26.70,1.85
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,15,10.83,28.02,2.49
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,15,10.15,26.87,1.84
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,16,10.82,27.98,2.46
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,16,10.20,27.02,1.80
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,17,11.12,28.64,2.49
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,17,10.25,26.96,1.91
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,18,10.79,28.08,2.38
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,18,10.17,27.05,1.81
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,19,10.84,27.84,2.48
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,19,10.19,26.95,1.76
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,20,11.05,28.34,2.39
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,20,10.25,27.10,1.75
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,21,10.77,27.98,2.43
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,21,10.20,27.07,1.82
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,22,10.77,27.73,2.48
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,22,10.13,27.19,1.82
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,23,10.96,28.54,2.40
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,23,10.09,26.91,1.67
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,24,10.77,27.66,2.59
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,24,10.10,26.97,1.72
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,25,10.81,28.22,2.46
PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/cit-patents/cit-Patents-default_nz.txt,25,10.18,27.12,1.71
