Unnamed: 0,twitter-Kwak,livejournal-soc:SNAP,R-MAT,LUBM,cit-patents:SNAP,yahoo:webscope,uk-2007-05:webgraph,friendster:SNAP,usa-roads:DIMACS,netflix,uk-2002:webgraph,Erdos,unspecified synthetics,twitter-mpi,"DBLP (0.96m, 10.1m)",uk-union:webgraph,DBpedia (Wikipedia),soc-Epinions1:SNAP,Kronecker,YAGO1 (Wikipedia + WordNet),amazon0601:SNAP,livejournal-com:SNAP,arabic-2005:webgraph,wikipedia:UFL,wikipedia-dump:KONECT,soc-pokec:SNAP,orkut:SNAP,uk-2005:webgraph,BTC 2009,BTC 2012,WatDiv/WSDTS,wordnet,web-google:SNAP,webbase-2001:webgraph,sk-2005:webgraph,3d grid,BTC 2010,AIDS corpus,amazon:webgraph,Bio2RDF,bitcoin transactions,BSBM,ca-condMat:SNAP,ca-GrQc:SNAP,cal-roads:DIMACS,citeseer:LINQS,clueweb09-A:lemur,clueweb09-B:lemur,codebook collaboration,data commons 2014,de Brujin,delaunay:DIMACS,domains:webscope,ego-gplus:SNAP,ego-twitter:SNAP,email-enron:SNAP,eu-2005:webgraph,euro-road:DIMACS,facebook-ego:SNAP,facebook-gjoka,facebook-samples,facebook-unknown (SNAP?),facebook-wilson,YAGO2 (Wikipedia + WordNet),flickr:UFL,flickr:unknown (SNAP?),Freebase,FriendFeed (SNAP?),gengraph,graphgen,hollywood:webgraph,Human protein,imdb,indochina-2004:webgraph,"instagram ""#foodporn"" dataset",it-2004:webgraph,KDD Cup 2012,kronecker:UFL,last.fm/api,LDBC,LinkBench,livejournal:KONECT,livejournal-mitzenmacher,loc-Brightkite:SNAP,MiCo (Microsoft Coauthorship),NASA,"NELL ""Read the Web""","NELL webcrawl (2m, 200m)",p2pGnutella04:SNAP,p2pGnutella31:SNAP,preferential attachment,private social network,PubChem,Reuters Corpus 1,soc-Slashdot0811:SNAP,soc-Slashdot0902:SNAP,SP2 SPARQL benchmark,synthetic collaborative filtering,synthetic tensors,twitter-kineograph,twitter-unknown (SNAP?),video coseg (3d grid),webbase:UFL,wiki-vote:SNAP,wikipedia-crawl,wikipedia-dump-pagelink,wikipedia-dump-wordpage,wikitalk:SNAP,WISE 2012 Challenge,Yeast protein,youtube-cheng,Zipf
SIZE,"41.7m, 1.4b","4.8m, 69m",synthetic,synthetic,"3.77m, 16.5m","1.4b, 6.6b","106m, 3.7b","65.6m, 1.8b","23m, 58m","0.5m, 99m","18.5m, 298m",synthetic,synthetic,"52m, 1.6b",various (verify),"133m, 5.4b","5.17m, 20.835m","75k, 508k",synthetic,unclear (verify),"403k, 3.3m","4m, 34.6m","22.7m, 640.0m","3.56m, 45m or 84.7m",unclear (verify),"1.632m, 30.6m","3m, 223.5m","39.5m, 936m",various reported,various reported,synthetic,"82.7k, 133.4k (verify)","876k, 5.11m","118m, 1.1019b","50.6m, 1.9b","constructed, 120x120x120 vertices",various reported,"g10k, ~e27","0.7m, 52m",t4.644b,"6.29m, 21.8m",synthetic,"23.133k, 93.497k","5.242k, 14.496k","1.89m, 4.657m","3.3k, 4.7k","1b, 8b","428m, 454m","2.91m, 13.61m","1.7b, 64b","50m, 68m","2.09m, 6.29m","26m, 370m","107k, 13m","81.3k, 1.768m","36.692k, 183.83k","862k, 19m","18m, 44.8m","4.039k, 88.23k","5.2m, 47.2m",extracted,"72.661m,160.975m","2.9m, 41.9m",unclear (verify),"820.8k, 9.837m","1.715k, 22.613k","28m, 47m","653k, 27.811m",synthetic,synthetic,"2.2m, 229m","4.675k, 86.282k","2.93m, 11.04m","7.4m, 194m","179.5m, 887.4m","41m, 1.15b","1.94m, 100m","1.048m, 89.2m","2.5m, 42.8m",synthetic,synthetic,"10.69m, 224.6m","5.4m, 79m","58.228k, 214.1k",100k. 1.08m,"g36.79k, ~e32",,,"10.876k, 39.994k","62.586k, 147.9k",synthetic,"5.02m, 198.6m",extracted,>800k news stories,"77.360k, 905.468k","82.168k, 948.464k",synthetic,synthetic,synthetic,"8m, 29m (100m tweets)","452k, 813k","10.5m, 31m","1m, 3.1m","7.115k, 103.7k","11.7, 96.7m","20m, 128m","55m, 1.4b","2.4m, 9.3m","58.6m, 265m","3.112k, 12.519k","4.59m, 44.0m",synthetic
./GRADES2013/a2-xin.pdf,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./GRADES2013/a4-jain.pdf,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,X,X,,,,,
./GRADES2013/a5-hong.pdf,X (claims 1.8b edges),,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./GRADES2013/a8-yoneki.pdf,X,X,"(32m, 1.28b), (1b, 40b)",,X,X,,X,X,,,"SNAP (20m, 2b)",,X,,,,,,,X,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./GRADES2014/02-fu.pdf,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,X,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,,,,,,,,,,,,,,,,,X,,,,,,,,,
./GRADES2014/03-salihoglu.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./GRADES2014/06-martinez-bazan.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./GRADES2014/10-xia.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"(58.6m, 392m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
./GRADES2015/a1-nito.pdf,,,"(d32, v2.1m)-(d32, v33.6m)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
