Algorithm,Dataset,Iteration,Real,User,Sys
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,1,Command terminated by signal 6
0.11,0.01,0.01,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,1
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,2,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,2
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,3,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,3
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,4,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,4
Command terminated by signal 6,0.08,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,5,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,5
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,6,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,6
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,7,Command terminated by signal 6
0.08,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,7
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,8,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,8
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,9,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,9
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,10,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,10
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,11,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,11
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,12,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,12
Command terminated by signal 6,0.07,0.01,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,13,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,13
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,14,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,14
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,15,Command terminated by signal 6
0.08,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,15
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,16,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,16
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,17,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,17
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,18,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,18
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,19,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,19
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,20,Command terminated by signal 6
0.09,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,20
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,21,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,21
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,22,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,22
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,23,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,23
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,24,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,24
Command terminated by signal 6,0.07,0.00,0.00
PR-Sync,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,25,Command terminated by signal 6
0.07,0.00,0.00,PR-Async,/mnt/Graph-MetaStudy/Graph-Benchmarks-Metastudy/scripts/graphchi/../../datasets/parmat/parmat-bfs.txt,25
Command terminated by signal 6,0.07,0.00,0.00
